Treatment,Temperature,Genotype,Repetition,11,18,26,32,40,47,54,Root weight,Fresh  weight ,Dry weight
Water,T0,NEVA,1,4,4,4,5,5,6,7,95.79,28.1,6.9
Water,T0,NANT,1,3,4,5,5,5,6,7,40.4,20.43,4.96
Water,T0,DEEP,1,4,4,5,5,5,5,6,70.13,26.05,7.33
Water,T0,OXHELLA,1,3,4,3,4,6,6,7,66.34,23.5,6.38
Water,T0,PRESTO,1,4,4,4,5,6,6,7,114.68,24.68,6.76
Water,T1,NEVA,1,4,4,4,5,6,6,7,96.6,24.58,7
Water,T1,NANT,1,4,4,4,5,6,7,7,45.76,17.47,5.66
Water,T1,ROBILA,1,3,3,5,5,6,7,8,52.14,21.97,6.97
Water,T1,DEEP,1,4,4,4,5,6,7,7,77.4,42.73,9.80
Water,T1,OXHELLA,1,4,4,6,6,6,6,7,46.11,19.46,5.75
Water,T1,PRESTO,1,4,5,5,5,6,7,8,82.91,24.36,7.25
Water,T2,NEVA,1,2,2,3,3,4,4,5,63.34,19.64,6.16
Water,T2,NANT,1,2,2,3,4,5,5,6,38.26,18.26,5.47
Water,T2,ROBILA,1,2,3,4,4,5,6,7,46.88,26.17,7.68
Water,T2,DEEP,1,2,3,3,3,4,4,6,58.78,34.38,8.82
Water,T2,OXHELLA,1,1,3,3,4,6,6,7,54.92,25,7.15
Water,T2,PRESTO,1,3,3,3,4,6,6,7,70.21,20.38,6.19
Water,T3,NEVA,1,0,2,3,3,4,5,6,109.31,28.1,7.55
Water,T3,NANT,1,0,1,2,3,4,5,7,40.08,20.43,5.68
Water,T3,ROBILA,1,3,3,3,4,5,6,8,66.15,32.29,9.14
Water,T3,DEEP,1,3,4,4,4,5,6,8,78.88,39.59,10.27
Water,T3,OXHELLA,1,3,3,4,4,5,6,7,80.97,20.68,7.04
Water,T3,PRESTO,1,3,3,3,3,4,5,7,95,23.78,6.40
PRI,T0,NEVA,1,3,3,4,4,5,6,6,133.24,32.69,9.18
PRI,T0,NANT,1,2,3,3,3,4,5,6,38.75,16.21,5.63
PRI,T0,ROBILA,1,2,3,4,4,5,5,6,50.77,20.68,8.69
PRI,T0,DEEP,1,3,3,4,4,4,5,6,49.35,27.64,7.63
PRI,T0,OXHELLA,1,3,3,3,3,4,5,6,61.02,21.39,6.38
PRI,T0,PRESTO,1,3,4,4,5,5,5,6,115.06,21.24,6.55
PRI,T1,NEVA,1,2,2,3,3,4,5,7,111.34,23.67,7.22
PRI,T1,NANT,1,1,2,3,3,5,5,7,39.8,17.39,5.75
PRI,T1,ROBILA,1,2,4,4,4,5,6,7,42.87,19.7,6.16
PRI,T1,DEEP,1,3,3,4,4,6,6,7,130.02,48.96,14.42
PRI,T1,OXHELLA,1,2,2,4,4,5,6,6,54.89,24.6,6.99
PRI,T1,PRESTO,1,4,4,5,5,6,7,7,75.17,15.96,5.35
PRI,T2,NEVA,1,2,3,3,4,5,6,6,80.98,21.53,5.68
PRI,T2,NANT,1,0,0,3,4,5,6,6,40.66,14.17,5.32
PRI,T2,ROBILA,1,1,2,4,4,5,5,5,41.66,19.05,6.15
PRI,T2,DEEP,1,2,2,3,3,4,4,5,77.4,39.58,9.67
PRI,T2,OXHELLA,1,0,2,3,3,4,4,4,81.9,23.41,6.53
PRI,T2,PRESTO,1,1,4,4,4,4,5,6,82.6,18.03,6.68
PRI,T3,NEVA,1,1,2,3,3,4,5,6,59.09,16.16,5.68
PRI,T3,NANT,1,0,1,3,4,5,5,6,37.69,13.88,5.11
PRI,T3,ROBILA,1,1,2,2,3,5,6,6,47.63,21.91,7.86
PRI,T3,DEEP,1,3,3,3,3,5,5,6,63.16,33.48,8.55
PRI,T3,OXHELLA,1,1,2,3,3,3,4,5,86.44,28.36,7.53
PRI,T3,PRESTO,1,2,3,4,4,5,5,6,73.66,16.49,5.63
Water,T0,NEVA,2,3,4,5,6,6,6,6,109.03,22.6,6.73
Water,T0,NANT,2,3,3,4,5,5,6,7,33.5,17.57,5
Water,T0,ROBILA,2,3,3,4,5,6,6,7,70.63,36.41,10
Water,T0,DEEP,2,3,4,4,5,5,6,7,118.14,62.17,15
Water,T0,OXHELLA,2,3,3,4,4,5,6,6,101.1,32.09,7.68
Water,T0,PRESTO,2,3,4,5,6,7,7,7,164.5,27.06,8.88
Water,T1,NEVA,2,3,3,4,4,5,6,7,90.41,15.97,5.31
Water,T1,NANT,2,0,3,3,3,5,6,7,29.1,12.8,4.74
Water,T1,ROBILA,2,3,3,5,5,6,7,7,32.17,27.45,7.32
Water,T1,DEEP,2,3,4,4,4,5,6,7,84.1,41.21,
Water,T1,OXHELLA,2,2,3,3,4,5,6,8,73.86,18.72,6.09
Water,T1,PRESTO,2,4,4,5,5,6,7,7,82.45,24.13,6.88
Water,T2,NEVA,2,0,3,3,3,4,4,5,59.78,22.06,6.44
Water,T2,NANT,2,3,3,3,5,5,6,7,27.71,11.7,4.71
Water,T2,ROBILA,2,1,2,3,4,5,5,7,47.4,20.58,6.58
Water,T2,DEEP,2,2,3,3,4,4,5,7,83.38,56.75,12.18
Water,T2,OXHELLA,2,0,2,3,3,4,4,6,51.77,30.93,7.31
Water,T2,PRESTO,2,3,3,4,4,4,5,6,101.82,20.09,5.92
Water,T3,NEVA,2,1,1,3,4,4,5,6,81.78,22.78,6.25
Water,T3,NANT,2,2,3,3,3,4,5,6,52.18,23.4,5.62
Water,T3,ROBILA,2,3,3,6,6,6,6,6,51.92,24.3,6.63
Water,T3,DEEP,2,3,3,4,4,5,6,6,107.93,47.27,11.53
Water,T3,OXHELLA,2,1,2,3,3,4,4,6,141.12,51.63,11.05
Water,T3,PRESTO,2,2,2,4,4,5,6,7,60.5,16.1,5.40
PRI,T0,NEVA,2,3,3,3,4,4,5,5,71.89,17.54,5.8
PRI,T0,NANT,2,2,2,3,3,4,4,5,41.25,14.02,4.88
PRI,T0,ROBILA,2,2,3,3,3,4,5,6,55.77,23.39,7.08
PRI,T0,DEEP,2,3,3,3,4,5,5,6,83,33.82,8.35
PRI,T0,OXHELLA,2,3,3,3,5,6,6,6,58.2,17.42,5.30
PRI,T0,PRESTO,2,3,3,4,5,5,5,6,93.56,15.11,5.37
PRI,T1,NEVA,2,1,3,3,4,5,5,7,55.3,14.68,5.4
PRI,T1,NANT,2,1,2,3,4,5,6,7,43.98,16.29,5.57
PRI,T1,ROBILA,2,0,2,4,4,5,6,7,38.42,22.87,7.11
PRI,T1,DEEP,2,1,3,3,4,4,5,6,102.54,45,10.97
PRI,T1,OXHELLA,2,2,3,3,4,4,4,6,110.04,43.22,9.73
PRI,T1,PRESTO,2,1,2,3,3,4,5,6,77.38,18.76,6.11
