category,new_name,source_file,status
transcriptomics_wgcna,00_helpers.R,00_helpers_WGCNA_v2.R,supplied
transcriptomics_wgcna,01_prepare_expression.R,01_import_filter_normalize.R,supplied
transcriptomics_wgcna,02_qc_pca_dendrogram.R,02_qc_pca_dendro.R,supplied
transcriptomics_wgcna,03_build_network.R,03_network_construction.R,supplied
transcriptomics_wgcna,04_module_trait_exploratory.R,04_module_trait.R,supplied
transcriptomics_wgcna,05_hub_genes.R,05_hub_genes.R,supplied
transcriptomics_wgcna,06_go_enrichment.R,06_enrichment_go.R,supplied
transcriptomics_wgcna,07_module_profiles_classification.R,07_module_profiles_classification.R,supplied
transcriptomics_wgcna,08_sampling_stage_summary.R,08_effet_prelevement.R,supplied
transcriptomics_integration,01_compare_PRESTO_ROBILA_publication.R,09_integrative_comparison_PRESTO_vs_ROBILA.R,supplied
transcriptomics_integration,02_functional_summary_publication.R,10_FUNCTIONAL SUMMARY #U2014 PRESTO + ROBILA.R,supplied
transcriptomics_integration,03_integrate_WGCNA_maSigPro.R,12_WGCNA_MASIGPRO_INTEGRATION.R,supplied
transcriptomics_masigpro,01_shared_baseline_maSigPro.R,MasigPro(1).R,supplied
transcriptomics_biological_heatmaps,00_prepare_master_annotation.R,13_00_prepare_biological_heatmap_inputs_FINAL(1).R,supplied
transcriptomics_biological_heatmaps,01_common_heatmap_helpers.R,13_WGCNA_D0D2D4_common_helpers_FINAL.R,supplied
transcriptomics_biological_heatmaps,02_hsp_heatmaps.R,13A_HSP_WGCNA_D0D2D4_FINAL.R,supplied
transcriptomics_biological_heatmaps,03_tf_heatmaps.R,13B_TF_WGCNA_D0D2D4_FINAL.R,supplied
transcriptomics_biological_heatmaps,04_immune_defence_heatmaps.R,13C_Immune_Defence_WGCNA_D0D2D4_FINAL.R,supplied
transcriptomics_biological_heatmaps,05_functional_heatmaps.R,14_Functional_WGCNA_D0D2D4_FINAL.R,supplied
transcriptomics_biological_heatmaps,06_global_themes.R,16_Global_Themes_WGCNA_D0D2D4_FINAL.R,supplied
transcriptomics_biological_heatmaps,run_all.R,17_run_ALL_WGCNA_biological_heatmaps_FINAL.R,supplied
annotation_builder,01_hsp_dictionary_builder.R,09A_HSP_family_heatmaps.R,supplied_in_companion_export
annotation_builder,02_tf_dictionary_builder.R,09B_TF_family_heatmaps.R,supplied_in_companion_export
annotation_builder,03_immune_dictionary_builder.R,09C_Immune_receptors_microbe_heatstress_panorama.R,supplied_in_companion_export
annotation_builder,04_functional_dictionary_curator.R,10_Functional_KEGG_family_heatmaps.R,supplied_in_companion_export
metabolomics_wgcna,00_helpers.R,00_helpers_WGCNA_LCMSV12.R,supplied
metabolomics_wgcna,01_prepare_features_exploratory_D4_D10.R,01_import_filter_normalize.R,supplied
metabolomics_wgcna,02_qc_pca_dendrogram.R,02_QC_PCA_dendro.R,supplied
metabolomics_wgcna,03_build_network.R,03_network_construction.R,supplied
metabolomics_wgcna,04_module_trait_exploratory.R,04_module_trait.R,supplied
metabolomics_wgcna,05_hub_features.R,05_hub_metabolites.R,supplied
metabolomics_wgcna,06_project_annotated_hubs_publication.R,06_LCMS_FIG5_FIG6_ANNOTATED_HUBS_FINAL_WORKING.R,supplied
metabolomics_temporal,01_mfuzz_temporal_clustering.R,LCMS_Temporal_Clustering_GLOBAL.R,supplied
metabolomics_plsda,01_plsda_reconstructed_from_methods.R,not supplied,reconstructed
phenotype,01_phenotype_analysis.R,supplied in rstudio-export-47.zip,original analysis; public filesystem sanitised
