Sample;Genotype;Temperature;Treatment;Environment;Replicat;Block;Sampling_time
0001;ROBILA;T0;SDP;S1;B1;R1;P2
0002;ROBILA;T0;SDP;S1;B2;R2;P2
0003;ROBILA;T0;SDP;S1;B1;R3;P2
0004;ROBILA;T0;SDP;S1;B2;R4;P2
0005;ROBILA;T1;EAU;S2;B1;R1;P1
0006;ROBILA;T1;EAU;S2;B1;R2;P1
0007;ROBILA;T1;EAU;S2;B2;R3;P1
0008;ROBILA;T1;EAU;S2;B2;R4;P1
0009;ROBILA;T2;EAU;S2;B1;R1;P1
0010;ROBILA;T2;EAU;S2;B1;R2;P1
0011;ROBILA;T2;EAU;S2;B2;R3;P1
0012;ROBILA;T2;EAU;S2;B2;R4;P1
0049;PRESTO;T0;EAU;S1;B1;R1;P1
0050;PRESTO;T0;EAU;S1;B2;R2;P1
0051;PRESTO;T0;EAU;S1;B1;R3;P1
0052;PRESTO;T0;EAU;S1;B2;R4;P1
0053;PRESTO;T1;EAU;S2;B1;R1;P1
0054;PRESTO;T1;EAU;S2;B1;R2;P1
0055;PRESTO;T1;EAU;S2;B2;R3;P1
0056;PRESTO;T1;EAU;S2;B2;R4;P1
0057;PRESTO;T2;EAU;S2;B1;R1;P1
0058;PRESTO;T2;EAU;S2;B1;R2;P1
0059;PRESTO;T2;EAU;S2;B2;R3;P1
0060;PRESTO;T2;EAU;S2;B2;R4;P1
0097;ROBILA;T0;EAU;S1;B1;R1;P1
0098;ROBILA;T0;EAU;S1;B2;R2;P1
0099;ROBILA;T0;EAU;S1;B1;R3;P1
0100;ROBILA;T0;EAU;S1;B2;R4;P1
0101;ROBILA;T0;EAU;S1;B1;R1;P2
0102;ROBILA;T0;EAU;S1;B2;R2;P2
0103;ROBILA;T0;EAU;S1;B1;R3;P2
0104;ROBILA;T0;EAU;S1;B2;R4;P2
0105;ROBILA;T1;SDP;S2;B1;R1;P2
0106;ROBILA;T1;SDP;S2;B1;R2;P2
0107;ROBILA;T1;SDP;S2;B2;R3;P2
0108;ROBILA;T1;SDP;S2;B2;R4;P2
0109;ROBILA;T1;EAU;S2;B1;R1;P2
0110;ROBILA;T1;EAU;S2;B1;R2;P2
0111;ROBILA;T1;EAU;S2;B2;R3;P2
0112;ROBILA;T1;EAU;S2;B2;R4;P2
0113;ROBILA;T2;SDP;S2;B1;R1;P2
0114;ROBILA;T2;SDP;S2;B1;R2;P2
0115;ROBILA;T2;SDP;S2;B2;R3;P2
0116;ROBILA;T2;SDP;S2;B2;R4;P2
0117;ROBILA;T2;EAU;S2;B1;R1;P2
0118;ROBILA;T2;EAU;S2;B1;R2;P2
0119;ROBILA;T2;EAU;S2;B2;R3;P2
0120;ROBILA;T2;EAU;S2;B2;R4;P2
0193;PRESTO;T0;SDP;S1;B1;R1;P2
0194;PRESTO;T0;SDP;S1;B2;R2;P2
0195;PRESTO;T0;SDP;S1;B1;R3;P2
0196;PRESTO;T0;SDP;S1;B2;R4;P2
0197;PRESTO;T0;EAU;S1;B1;R1;P2
0198;PRESTO;T0;EAU;S1;B2;R2;P2
0199;PRESTO;T0;EAU;S1;B1;R3;P2
0200;PRESTO;T0;EAU;S1;B2;R4;P2
0201;PRESTO;T1;SDP;S2;B1;R1;P2
0202;PRESTO;T1;SDP;S2;B1;R2;P2
0203;PRESTO;T1;SDP;S2;B2;R3;P2
0204;PRESTO;T1;SDP;S2;B2;R4;P2
0205;PRESTO;T1;EAU;S2;B1;R1;P2
0206;PRESTO;T1;EAU;S2;B1;R2;P2
0207;PRESTO;T1;EAU;S2;B2;R3;P2
0208;PRESTO;T1;EAU;S2;B2;R4;P2
0209;PRESTO;T2;SDP;S2;B1;R1;P2
0210;PRESTO;T2;SDP;S2;B1;R2;P2
0211;PRESTO;T2;SDP;S2;B2;R3;P2
0212;PRESTO;T2;SDP;S2;B2;R4;P2
0213;PRESTO;T2;EAU;S2;B1;R1;P2
0214;PRESTO;T2;EAU;S2;B1;R2;P2
0215;PRESTO;T2;EAU;S2;B2;R3;P2
0216;PRESTO;T2;EAU;S2;B2;R4;P2
0289;ROBILA;T0;SDP;S1;B1;R1;P3
0290;ROBILA;T0;SDP;S1;B2;R2;P3
0291;ROBILA;T0;SDP;S1;B1;R3;P3
0292;ROBILA;T0;SDP;S1;B2;R4;P3
0293;ROBILA;T0;EAU;S1;B1;R1;P3
0294;ROBILA;T0;EAU;S1;B2;R2;P3
0295;ROBILA;T0;EAU;S1;B1;R3;P3
0296;ROBILA;T0;EAU;S1;B2;R4;P3
0297;ROBILA;T1;SDP;S2;B1;R1;P3
0298;ROBILA;T1;SDP;S2;B1;R2;P3
0299;ROBILA;T1;SDP;S2;B2;R3;P3
0300;ROBILA;T1;SDP;S2;B2;R4;P3
0301;ROBILA;T1;EAU;S2;B1;R1;P3
0302;ROBILA;T1;EAU;S2;B1;R2;P3
0303;ROBILA;T1;EAU;S2;B2;R3;P3
0304;ROBILA;T1;EAU;S2;B2;R4;P3
0305;ROBILA;T2;SDP;S2;B1;R1;P3
0306;ROBILA;T2;SDP;S2;B1;R2;P3
0307;ROBILA;T2;SDP;S2;B2;R3;P3
0308;ROBILA;T2;SDP;S2;B2;R4;P3
0309;ROBILA;T2;EAU;S2;B1;R1;P3
0310;ROBILA;T2;EAU;S2;B1;R2;P3
0311;ROBILA;T2;EAU;S2;B2;R3;P3
0312;ROBILA;T2;EAU;S2;B2;R4;P3
0385;PRESTO;T0;SDP;S1;B1;R1;P3
0386;PRESTO;T0;SDP;S1;B2;R2;P3
0387;PRESTO;T0;SDP;S1;B1;R3;P3
0388;PRESTO;T0;SDP;S1;B2;R4;P3
0389;PRESTO;T0;EAU;S1;B1;R1;P3
0390;PRESTO;T0;EAU;S1;B2;R2;P3
0391;PRESTO;T0;EAU;S1;B1;R3;P3
0392;PRESTO;T0;EAU;S1;B2;R4;P3
